Customer_ID,Company_Name,Industry,State,Employee_Count,Acquisition_Channel,Subscription_Plan,Start_Date,Last_Renewal_Date,Subscription_Valid_Until,Monthly_Recurring_Fee,Discount_Percent,Total_Renewals,Support_Tickets,Product_Usage_Score,Customer_Satisfaction,Churn_Reason,Last_Login_Date
CUST00001,Falcon Consulting Pvt Ltd,Manufacturing,Tamil Nadu,77,Organic Search,Enterprise,8/28/2024,8/28/2025,8/28/2026,24999,20,1,1,77,3,Not Applicable,12/27/2025
CUST00002,Apex Technology Services Private Limited,Media & Marketing,West Bengal,179,Social Media,Professional,12/11/2024,12/11/2025,12/11/2026,4999,10,1,20,89,3,Not Applicable,12/12/2025
CUST00003,FutureGrid Digital Private Limited,Real Estate,West Bengal,572,Organic Search,Enterprise,3/12/2023,3/12/2025,3/12/2026,24999,20,2,21,64,3,Not Applicable,10/15/2025
CUST00004,BlueRiver Growth Solutions India Pvt Ltd,Manufacturing,Kerala,311,Sales Team,Professional,8/14/2024,12/14/2025,1/14/2026,4999,0,16,4,55,3,Not Applicable,11/28/2025
CUST00005,Vertex Technology Partners Private Limited,Professional Services,Tamil Nadu,3973,Sales Team,Enterprise,6/7/2024,6/7/2025,6/7/2026,24999,10,1,16,67,3,Not Applicable,12/17/2025
CUST00006,TechVista Process Solutions India Pvt Ltd,Financial Services,Telangana,683,Sales Team,Professional,1/28/2025,12/28/2025,1/28/2026,4999,5,11,9,37,2,Not Applicable,11/12/2025
CUST00007,Tata Technologies India Pvt Ltd,Manufacturing,Karnataka,222,Paid Ads,Basic,4/1/2023,12/1/2025,1/1/2026,1999,0,32,3,35,2,Not Applicable,12/24/2025
CUST00008,Yuva Services Pvt Ltd,Professional Services,Kerala,910,Social Media,Enterprise,4/21/2023,12/21/2025,1/21/2026,24999,15,32,3,60,4,Not Applicable,11/20/2025
CUST00009,Arvind CloudWorks Pvt Ltd,Real Estate,Karnataka,151,Referral,Professional,11/22/2024,11/22/2025,11/22/2026,4999,5,1,14,69,3,Not Applicable,11/13/2025
CUST00010,Ananta Networks Pvt Ltd,Real Estate,Haryana,28,Organic Search,Business,11/19/2023,11/19/2025,11/19/2026,9999,5,2,3,89,4,Not Applicable,11/27/2025
CUST00011,Ridge Solutions India Pvt Ltd,Information Technology,Andhra Pradesh,186,Organic Search,Basic,7/25/2025,9/25/2025,10/25/2025,1999,0,2,3,87,4,Low Product Usage,8/4/2025
CUST00012,Jade Growth Solutions India Pvt Ltd,Education,Maharashtra,829,Organic Search,Business,9/7/2024,12/7/2025,1/7/2026,9999,5,15,2,68,4,Not Applicable,12/9/2025
CUST00013,Galaxy Networks India Pvt Ltd,Healthcare,Delhi,114,Referral,Professional,8/21/2025,12/21/2025,1/21/2026,4999,5,4,1,73,4,Not Applicable,12/18/2025
CUST00014,Bharat Cloud Services Private Limited,E-commerce & Retail,Tamil Nadu,121,Partner,Professional,1/9/2024,1/9/2025,1/9/2026,4999,5,1,6,82,3,Not Applicable,12/30/2025
